title,type,titlereleased,rating,quality,actors,director,category,imdb,runtime,netflixid,date_released,description,4k,language
Death by Magic,TV,2018,TV-PG,UltraHD,Drummond Money-Coutts,,,6.1,,80191074,2018-11-30,"Magician Drummond Money-Coutts travels the globe, sharing his infectious love of his craft and attempting feats that proved fatal to other magicians.",1,english
Death Can Wait,TV,2020,TV-14,SuperHD,"Ricardo Quevedo, Nelson Polanía, Liss Pereira, Brian Moreno",Fernando Ayllón,,,90,81091382,2020-05-02,"After learning he may die soon, a modest accountant pulls off a shady money scheme and heads to Europe, where he's faced with a life-or-death situation.",0,spanish
Death Note,TV,2017,TV-MA,UltraHD,"Willem Dafoe, Nat Wolff, LaKeith Stanfield, Margaret Qualley",Adam Wingard,,4.5,100,80122759,2017-08-25,"Light Turner finds a supernatural notebook and uses it to mete out death, attracting the attention of a detective, a demon and a girl in his class.",1,english
DEATH NOTE,TV,2006,TV-14,SuperHD,"Mamoru Miyano, Kappei Yamaguchi, Shido Nakamura, Aya Hirano",,,9.0,,70204970,2018-10-15,"When a Japanese high schooler comes into possession of a mystical notebook, he finds he has the power to kill anybody whose name he enters in it.",0,japanese
Deep,TV,2016,TV-MA,SuperHD,"Patrick Ridremont, Olivier Chantreau, Pénélope Leveque, Emmanuelle Meyssignac",,,7.0,,80104950,2016-07-01,"As he grapples with a life-threatening illness, a police investigator tracks the explosion of a new synthetic drug on the streets of Paris.",0,french
Deep Undercover,TV,2016,TV-14,SuperHD,Dave B. Mitchell,,,7.2,,80201750,2018-03-16,"Former FBI agent Joe Pistone, the real-life ""Donnie Brasco,"" hosts this series that reveals the true stories of undercover crime-fighting operations.",0,english
Deep Water,TV,2016,TV-MA,SuperHD,"Noah Taylor, Yael Stone, Jeremy Lindsay Taylor, Danielle Cormack",,,6.9,,80118532,2017-07-01,"Back in Bondi Beach, where she grew up, DC Tori Lustigman investigates a gay man's murder and finds a link to her brother's death decades earlier.",0,english
Deewana Main Deewana,TV,2013,TV-14,SuperHD,"Govinda, Priyanka Chopra, Kader Khan, Prem Chopra",K.C. Bokadia,,2.5,107,80236278,2018-07-01,A man's instant attraction to a woman becomes an obsession as he adopts a friend's identity and even commits murder in order to get closer to her.,0,hindi
Def Comedy Jam 25,TV,2017,TV-MA,UltraHD,"Dave Chappelle, Steve Harvey, Cedric the Entertainer, Martin Lawrence",Louis J. Horvitz,,6.6,81,80151483,2017-09-26,"In this special live event, giants of stand-up come together to commemorate the 25th anniversary of Russell Simmons's groundbreaking ""Def Comedy Jam.""",1,english
Degrassi: Next Class,TV,2016,TV-14,SuperHD,"Amanda Arcuri, Amir Bageria, Soma Bhatia, Jamie Bloch",Stefan Brogren,,7.0,,80062047,2016-01-15,"Degrassi's next generation of high-tech newbies and returning students navigates real-world high school drama. If you're a teen, this is your life.",0,english
Deidra & Laney Rob a Train,TV,2017,TV-14,UltraHD,"Rachel Crow, Ashleigh Murray, Sasheer Zamata, Danielle Nicolet",Sydney Freeland,,6.1,92,80108984,2017-03-17,"With their mother in jail and bills piling up, ambitious small-town teens Deidra and Laney plot a series of train robberies to keep themselves afloat.",1,english
Déjà Vu,TV,2013,TV-14,SuperHD,"Mandy Wei, Yao Yuan Hao, Wang Si Ping, Yang Zheng",,,,,81020692,2019-01-02,"After losing everything, a prima ballerina accepts a stranger's offer to dial back time and reclaim what was taken from her -- but at a great price.",0,thai
